whaleID,totalnumberoflunges,TL,meanlunges,meanlungesforagedives,maxlunges,minlunges,ninetypercent,tenpercent,stdlungeforagedives,meanILI,stdILI,meandivelength,meanforagedivelength,meanpurge1,stdpurge1,meanpurge2,stdpurge2,meanpurge3,stdpurge3,meanengulfmenttime,stdengulfmenttime,meandepthoflunge,stddepthoflunge
bw180905-49,210,25.18,2.470588235,6,9,3,7,5,1.188177052,99.40027891,8.39040769,653.5047059,816.6571429,56.82,13.74161354,76.07190476,15.19930498,88.3052381,13.74161354,4.273809524,2.319880743,213.4844733,29.81215765
bw180905-53,152,24.49,1.9,3.897435897,7,1,5,2,1.231064405,127.0915789,13.45749139,770.7375,972.7410256,78.58223684,18.29723716,101.3125,23.43883491,114.7907895,18.29723716,4.4375,1.800508114,208.7980323,35.69582554
mn170703-40,312,10.1,5.288135593,12.48,16,7,16,9,2.417298768,33.03262421,2.644486142,403.3135593,594.732,14.25128205,4.482620777,16.66121795,4.69623258,25.82916667,4.482620777,1.745833333,0.409903852,166.5069857,33.98110505
mn170815-10,51,12.21,0.689189189,2.55,8,1,6,1,2.163695669,53.39168831,17.56241327,242.8513514,201.505,22.51960784,14.10689221,26.74901961,15.84141878,33.87058824,14.10689221,1.621568627,0.550386673,69.11462774,47.12011595
mn180227-40,168,10.48,0.63878327,1.083870968,6,1,1,1,0.482886864,41.52428571,22.04010274,66.3460076,47.2716129,12.47142857,4.646396361,15.1327381,5.437456003,26.00654762,4.646396361,1.516071429,0.444033008,15.46598171,7.876717648
mn180227-41,778,11.99,1.018324607,1.250803859,6,1,2,1,0.745220518,42.91071705,12.28400669,69.57591623,55.89276527,14.59125964,5.229315515,19.00244216,6.288023115,30.35385604,5.229315515,1.653727506,0.446225685,25.37020431,20.79415705
mn180227-43,983,10,1.028242678,1.245880862,9,1,2,1,0.812574958,32.98927903,7.680756103,57.59905858,44.60164766,9.444252289,5.195167054,12.30142421,6.093550897,17.0283825,5.195167054,1.601220753,0.494921804,24.62687801,29.53396247
mn180227-44,357,11.43,0.595993322,1.552173913,8,1,3.5,1,1.306473491,43.52589286,9.316184494,117.357596,78.96695652,16.2952381,5.48566106,19.50756303,5.404396249,24.77871148,5.48566106,1.424929972,0.375993528,36.45264121,32.12460331
mn180227-46,557,10.66,0.593184239,1.039179104,4,1,1,1,0.229494523,36.55462963,14.97895234,63.08498403,42.75242537,13.89192101,5.443601228,16.41149013,6.122488688,21.10179533,5.443601228,1.433393178,0.342228433,13.75416157,5.050064123
mn180302-27,525,11.38,1.381578947,1.861702128,8,1,4,1,1.388317273,40.72843695,10.8634953,102.5584211,92.79539007,18.26057143,7.133537316,22.55428571,7.308306324,30.95695238,7.133537316,1.688571429,0.370556185,30.45425037,27.18365602
mn180302-47,760,11.36,1.048275862,1.386861314,11,1,2,1,1.221370796,34.99458163,12.50983174,88.62924138,65.13740876,12.94986842,4.431959626,15.67947368,5.359153546,23.32144737,4.431959626,1.650526316,0.378889212,41.50884291,66.58806969
