ID,species,lunge_depth
bw170813-41,bw,114.34107916034093
bw170813-41,bw,115.30282216293588
bw170813-41,bw,114.54251246128314
bw170813-41,bw,115.00079034086005
bw170813-41,bw,113.93078722325602
bw170813-41,bw,112.40624116281514
bw170813-41,bw,113.06625829336464
bw170813-41,bw,113.27606712997252
bw170813-41,bw,113.70827463307697
bw170813-41,bw,113.1679231668204
bw170813-41,bw,107.4837730038254
bw170813-41,bw,112.76321952728061
bw170813-41,bw,109.76216160181565
bw170813-41,bw,113.4299526176576
bw170813-41,bw,113.41741737964603
bw170813-41,bw,112.93657735049173
bw170813-41,bw,114.6840172017086
bw170813-41,bw,114.27990251250237
bw170813-41,bw,112.71125398223738
bw170813-41,bw,101.66610988242726
bw170813-41,bw,114.59140238882209
bw170813-41,bw,109.31650396289825
bw170813-41,bw,111.80329917994482
bw170813-41,bw,105.95909976955289
bw170813-41,bw,114.93813361017177
bw170813-41,bw,115.8091054121006
bw170813-41,bw,115.66580137065762
bw170813-41,bw,115.72068534163486
bw170813-41,bw,116.4035700552727
bw170813-41,bw,115.23122557621058
bw170813-41,bw,117.91596530936184
bw170813-41,bw,120.3922574657009
bw170813-41,bw,120.00304296177312
bw170813-41,bw,119.48531691221184
bw170813-41,bw,119.01061330482302
bw170813-41,bw,119.32169431027084
bw170813-41,bw,117.41727492060073
bw170813-41,bw,115.51213112025452
bw170813-41,bw,117.07915885532239
bw170813-41,bw,116.51729624133863
bw170813-41,bw,117.63703557116224
bw170813-41,bw,115.7715162687297
bw170813-41,bw,113.76205750117936
bw170813-41,bw,115.68626497296688
bw170813-41,bw,115.40808058480266
bw170813-41,bw,115.09227974383568
bw170813-41,bw,113.36336742812566
bw170813-41,bw,115.82871850860147
bw170813-41,bw,115.04726010808503
bw170813-41,bw,115.85785418573019
bw170813-41,bw,115.30864823826505
bw170813-41,bw,117.40993685508974
bw170813-41,bw,118.45916929676734
bw170813-41,bw,118.10492029866622
bw170813-41,bw,115.25720886455223
bw170813-41,bw,115.2608993752284
bw170813-41,bw,114.6377291408829
bw170813-41,bw,112.45396915450203
bw170813-41,bw,113.29792547350483
bw170813-41,bw,112.66242151187978
bw170813-41,bw,113.76290737135244
bw170813-41,bw,114.311771639142
bw170813-41,bw,107.44380725307279
bw170813-41,bw,109.68734100523048
bw170813-41,bw,112.21890638428292
bw170813-41,bw,98.61367299815241
bw170813-41,bw,109.72830895577562
bw170813-41,bw,107.02166524209578
bw170813-41,bw,91.02100818563447
bw170813-41,bw,107.33659119288079
bw170813-41,bw,98.92756055459307
bw170813-41,bw,102.42975992634241
bw170813-41,bw,104.73335920723059
bw170813-41,bw,77.06164768236376
bw170813-41,bw,103.75969123265082
bw170813-41,bw,88.89112551190459
bw170813-41,bw,98.84550091522098
bw170813-41,bw,100.35308938980884
bw170813-41,bw,94.10819748118105
bw170813-41,bw,100.45087512406127
bw170813-41,bw,98.26409249993876
bw170813-41,bw,94.64640778798936
bw170813-41,bw,85.6855354959331
bw170813-41,bw,80.74737965085288
bw170813-41,bw,83.53880093210557
bw170813-41,bw,96.17343606159714
bw170813-41,bw,94.70359430325279
bw170813-41,bw,101.93691334424307
bw170813-41,bw,105.25312606605276
bw170813-41,bw,105.58420919438227
bw170813-41,bw,103.3346692884291
bw170813-41,bw,104.71248446060106
bw170813-41,bw,46.09378913897674
bw170813-41,bw,48.9227500950704
bw170813-41,bw,47.648647701657346
bw170813-41,bw,45.73133597657387
bw170813-41,bw,42.06136475323646
bw170813-41,bw,47.869931129011825
bw170813-41,bw,43.89696214376061
bw170813-41,bw,42.21514111849134
bw170813-41,bw,42.7206972243866
bw170813-41,bw,39.03907579776268
bw170813-41,bw,46.523101697153976
bw170813-41,bw,40.4450527341955
bw170813-41,bw,41.7782013138327
bw170813-41,bw,19.434272905146344
bw170813-41,bw,19.957124223316374
bw170813-41,bw,78.07975782889741
bw170813-41,bw,69.10045753635407
bw170813-41,bw,62.923160021153855
bw170813-41,bw,60.92644717116482
bw170813-41,bw,66.24739924157511
bw170813-41,bw,69.72122518825276
bw170813-41,bw,61.93804274173586
bw170813-41,bw,48.905510162323985
bw170813-41,bw,67.60313578878073
bw170813-41,bw,41.4863170886076
bw170813-41,bw,63.945943691540464
bw170813-41,bw,68.19450630595975
bw170813-41,bw,43.18542060982684
bw170813-41,bw,40.82426239216927
bw170813-41,bw,47.78261281742731
bw170813-41,bw,47.76201357024585
bw170813-41,bw,37.092814604141466
bw170813-41,bw,51.98791720679557
bw170813-41,bw,23.820987721214674
bw170813-41,bw,41.30369467425796
bw170813-41,bw,21.554715900564688
bw170813-41,bw,51.4778259017299
bw170813-41,bw,29.732657193264874
bw170813-41,bw,50.97707654311388
bw170813-41,bw,33.850554362970286
bw170813-41,bw,46.90268139196826
bw170813-41,bw,19.41325658155195
bw170813-41,bw,51.18451256609727
bw170813-41,bw,41.68922499898824
bw170813-41,bw,51.22116414144621
bw170813-41,bw,22.65780046275989
bw170813-41,bw,55.03055326065947
bw170813-41,bw,49.82443761912035
bw170813-41,bw,60.64657725497923
bw170813-41,bw,68.22940831703117
bw170813-41,bw,73.62198386712653
bw170813-41,bw,39.98944946717626
bw170813-41,bw,70.29230679844369
bw170813-41,bw,58.4664904837423
bw170813-41,bw,81.73766694802708
bw170813-41,bw,91.42807440102028
