Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent
Physeteridae,Physter,macrocephalus,12.3,19300,200,4.9,1.69,338,0.36,0.49,0.61
Physeteridae,Physter,macrocephalus,12.3,19300,100,0.6,2.31,231,0.24,0.33,0.61
Physeteridae,Physter,macrocephalus,12.3,19300,800,2.1,2.65,2310,2.23,3.04,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,194,1,1.69,327.9,0.3,0.25,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,2284,0.8,3.78,8633.5,7.84,6.43,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,2210,0.5,4.01,8862.1,1.36,1.12,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,92,0.4,1.82,167.4,8.2,6.73,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,75,0.4,1.69,126.8,3.44,2.82,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,109,1.5,1.69,184.2,1.41,1.15,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,61,0.7,2.65,161.7,10.81,8.86,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,1262,0.5,4.01,5060.6,8.99,7.37,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,192,14.1,3.78,725.8,15.28,12.53,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,50,7.4,1.69,84.5,5.32,4.36,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,79,5,1.69,133.5,1.46,1.2,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,46,3.6,2.65,121.9,0.52,0.43,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,308,3.5,1.82,560.6,0.4,0.32,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,46,0,2.31,106.3,1.2,0.98,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,1183,0,2.31,2732.7,0.94,0.77,0.61
Ziphiidae,Ziphius,cavirostris,6.6,2900,154,16.8,3.08,474.3,0.7,0.57,0.61
Balaenopteridae,Balaenoptera,physalus,20.2,47047,6000,0.5,2.94,17640,7.27,7.31,0.45
Balaenopteridae,Balaenoptera,physalus,20.2,47047,12900,3.7,2.94,37926,15.64,15.72,0.45
Balaenopteridae,Balaenoptera,physalus,20.2,47047,27840,8.3,2.94,81849.6,33.74,33.92,0.45
